Name,SOL_ID_BO_ID,SO Name,MIS,PPFGP,SSA,RD,SBBAS,SBSGP,SCSS,TD,PRFTS,KVN,NSC8,MSSC
Taharpurkalan B.O,J7333,Chhachrauli S.O,,,2.0,,,2.0,,,,,,
Tajewala B.O,L4339,Bhudkalan S.O,,,5.0,1.0,,5.0,,4.0,,,,
Talakaur B.O,L4401,Saraswati Nagar S.O,,,3.0,4.0,,9.0,,12.0,,,,
Tandwal B.O,I1912,Barara S.O,,,1.0,,,4.0,,6.0,,,,
Tepla B.O,L4370,Saha S.O,,,,2.0,,1.0,,,,,,
Thakar Pura B.O,E1838,Mullana S.O,,,,10.0,,5.0,,,,,,
Tharwa B.O,C5003,Majri S.O,,,,1.0,,,,3.0,,,,
Thermal Colony Yamuna Nagar S.O,13500401,,,,5.0,0.0,,4.0,,1.0,,,,
Thumber B.O,I1900,Adhoya S.O,,,,,,,,2.0,,,,
Tikkar B.O,L3888,Morni S.O,,,1.0,3.0,,,,,,,,
Toda B.O,M0023,Jatwar S.O,,,,3.0,1.0,2.0,,4.0,,,,
Top Khana Bazar S.O,13300111,,10.0,,5.0,31.0,,18.0,3.0,49.0,,2.0,1.0,
Topra Kalan B.O,I4691,Radaur S.O,,,1.0,1.0,,2.0,,2.0,,,,
UDAIPUR,M6342,Durga Nagar S.O,,,1.0,1.0,,3.0,,4.0,,,,
Udhamgarh B.O,D1365,Jagadhri S.O,,,,4.0,,2.0,,5.0,,,,
Ugala B.O,I1901,Adhoya S.O,,,1.0,3.0,,4.0,,2.0,,,,
Uncha Chandna B.O,L4402,Saraswati Nagar S.O,,,,,,4.0,,2.0,,,,
Yamunanagar H.O,13500100,,64.0,9.0,51.0,221.0,,119.0,55.0,429.0,,44.0,124.0,
Zaffarpur B.O,A7316,Sarawan S.O,,,,1.0,,1.0,,1.0,,,,
Achina SO,12730701,,2.0,1.0,2.0,1.0,,3.0,,28.0,,1.0,1.0,
Ajitpura BO,J3462,Manheru SO,,,1.0,1.0,,,,1.0,,,,
Akbarpur BO,J7241,Nangal Chaudhry SO,,,,19.0,,,,3.0,,,,
Akoda BO,J2213,Mohindergarh SO,,,,,,1.0,,,,,,
Arya Nagar BO,F8278,Badhara SO,,,1.0,,,1.0,,,,,,
Atela Khurd BO,H9247,Birhi Kalan SO,,,6.0,1.0,,1.0,,5.0,,,,
Aun BO,H3219,Jhojhu SO,,,1.0,,,1.0,,,,,,
Aun BO,D8690,Baund SO,,,1.0,2.0,,2.0,,1.0,,,,
Azamabad Mukhota BO,F4595,Narnaul HO,,,,6.0,,,,,,,,
Bachhod BO,L9936,Mandi Ateli SO,,,1.0,,,2.0,,8.0,,,,
Badesera BO,G2046,Tigrana SO,,,1.0,,,,,,,,,
Badhara SO,12730801,,5.0,,5.0,31.0,,7.0,3.0,7.0,,,3.0,
Badhawana BO,H3220,Jhojhu SO,,,2.0,,,1.0,,1.0,,,,
Badrai BO,G6832,Nihalgard PO,,,,1.0,,,,3.0,,,,
Baghot BO,G6902,Kanina SO,,,1.0,,,2.0,,,,,,
Bairawas BO,F6455,Nangal Sirohi SO,,,1.0,2.0,,2.0,,9.0,,,,
Bajina BO,F0143,Bapora SO,,,2.0,,,,,,,,,
Baliali BO,L4326,Bawani Khera SO,,,1.0,2.0,,11.0,,1.0,,,,
Bapora SO,12711101,,19.0,2.0,11.0,12.0,,19.0,,30.0,,,1.0,
Barda BO,H0360,Satnali SO,,,,,,2.0,,3.0,,,,
Bardu Chaina BO,L4375,Loharu SO,,,,,,2.0,,1.0,,,,
Barkoda BO,G3093,Narnaul HO,,,,8.0,,,,,,,,
Barsana BO,H9249,Birhi Kalan SO,,,1.0,1.0,,2.0,,4.0,,,,
Barwa SO,12704501,,,,17.0,31.0,,11.0,,23.0,,1.0,,
Barwas BO,L4376,Loharu SO,,,,,,,,10.0,,,,
Basai BO,J2214,Mohindergarh SO,,,,1.0,,,,,,,,
Bashirpur BO,C1131,Narnaul HO,,,1.0,1.0,,1.0,,1.0,,,,
Baund SO,12702501,,5.0,1.0,9.0,13.0,,11.0,3.0,33.0,,,2.0,
Bawana BO,J2215,Mohindergarh SO,,,1.0,2.0,,4.0,,3.0,,,,
Bawani Khera SO,12703201,,2.0,2.0,7.0,43.0,,36.0,11.0,58.0,,3.0,11.0,
Bawania SO,12303401,,6.0,,3.0,32.0,,8.0,1.0,17.0,,1.0,4.0,
Behali BO,L9938,Mandi Ateli SO,,,1.0,1.0,,,,,,,,
Behl SO,12702801,,1.0,,7.0,15.0,,7.0,,18.0,,4.0,,
Beri BO,J2216,Mohindergarh SO,,,,,,,,1.0,,,,
Berla BO,F8279,Nihalgard PO,,,1.0,1.0,,1.0,,,,,,
Bewal BO,L9939,Mandi Ateli SO,,,1.0,,,1.0,,1.0,,,,
Bhagesari BO,A7531,Achina SO,,,,1.0,,2.0,,,,,,
Bhagwi BO,C4405,Achina SO,,,1.0,2.0,,1.0,,,,,,
Bharaf BO,E9937,Kanina SO,,,,,,,,1.0,,,,
Bhariwas BO,N9285,Rodhan SO,,,,,,,,3.0,,,,
Bhera BO,N9286,Rodhan SO,,,2.0,1.0,,2.0,,2.0,,,,
Bhiwani HO,12702100,,49.0,6.0,34.0,220.0,,124.0,25.0,632.0,,22.0,82.0,
Bhocharia BO,L9941,Mandi Ateli SO,,,1.0,1.0,,2.0,,2.0,,,,
Bhojawas BO,I2952,Bawania SO,,,,1.0,,2.0,,,,,,
Bhucholi BO,I2953,Bawania SO,,,1.0,1.0,,1.0,,6.0,,,,
Bhungerka BO,J7243,Nangal Chaudhry SO,,,,,,,,21.0,,,,
Bhurtana BO,G4111,Jamalpur SO Bhiwani,,,2.0,,,1.0,,,,,,
Bhushan BO,N9287,Rodhan SO,,,4.0,,,1.0,,,,,,
Bhushan Kalan BO,C9447,Narnaul HO,,,1.0,3.0,,3.0,,2.0,,,,
Bidhwan BO,J2201,Siwani SO,,,4.0,,,1.0,,4.0,,,,
Bigowa BO,E1022,Achina SO,,,1.0,,,3.0,,27.0,,,,
Biran BO,G7110,Bapora SO,,,2.0,,,1.0,,2.0,,,,
Birhi Kalan SO,12702601,,2.0,2.0,4.0,7.0,,4.0,,5.0,,,,
Birla Colony Bhiwani SO,12702101,,,1.0,5.0,18.0,,18.0,3.0,14.0,,2.0,1.0,
Bisalwas BO,L4377,Loharu SO,,,1.0,,,2.0,,1.0,,,,
Bseh Bhiwani SO,12702102,,,,4.0,1.0,,4.0,,,,,,
Buddin BO,J2217,Mohindergarh SO,,,,1.0,,,,,,,,
Budhwal BO,J7244,Nangal Chaudhry SO,,,1.0,,,,,,,,,
Bus Stand Bhiwani SO,12702103,,,1.0,3.0,22.0,,8.0,,23.0,,,2.0,
Central University Haryana Mohindergarh SO,12303101,,,1.0,3.0,4.0,,3.0,,,,,,
Chahar Khurd BO,L4380,Loharu SO,,,1.0,,,3.0,,1.0,,,,
Chandawas BO,F3604,Kairu SO,,,1.0,1.0,,,,,,,,
Chandeni BO,H3221,Jhojhu SO,,,1.0,3.0,,5.0,,1.0,,,,
Chandwas BO,C4847,Nihalgard PO,,,2.0,3.0,,2.0,,3.0,,,,
Chang Road BO,C4009,Chiriya SO,,,,,,1.0,,3.0,,,,
Chang SO,12702701,,2.0,,7.0,10.0,,17.0,,40.0,,1.0,,
Chappar BO,H9250,Birhi Kalan SO,,,1.0,,,2.0,,1.0,,,,
Charkhi  Dadri Hsgii SO,12730601,,27.0,4.0,15.0,128.0,,60.0,12.0,95.0,,6.0,33.0,
Charkhi BO,B2732,Charkhi  Dadri Hsgii SO,,,,,,2.0,,3.0,,,,
Charkhi Dadri City SO,12730602,,9.0,,8.0,114.0,,49.0,2.0,72.0,,1.0,14.0,
Chillro BO,F4596,Narnaul HO,,,1.0,,,,,20.0,,,,
Chiriya SO,12702201,,,3.0,6.0,2.0,,12.0,,15.0,,,1.0,
Chitrauli BO,D3242,Kanina SO,,,1.0,,,,,,,,,
Dadam BO,E0830,Tosham SO,,,,,,8.0,,1.0,,,,
Dagroli BO,E9884,Nihalgard PO,,,3.0,4.0,,2.0,,,,,,
Dalanwas BO,H0361,Satnali SO,,,1.0,,,,,,,,,
Dalawas BO,F8280,Badhara SO,,,,,,1.0,,1.0,,,,
Dang BO,D3474,Bapora SO,,,2.0,,,1.0,,,,,,
Daroli Ahir BO,D1373,Nangal Sirohi SO,,,1.0,,,1.0,,2.0,,,,
Daryapur BO,C4192,Tosham SO,,,1.0,1.0,,1.0,,,,,,
Devrala BO,C0229,Kairu SO,,,4.0,1.0,,3.0,,,,,,
Devsar BO,B6663,Bapora SO,,,5.0,,,7.0,,,,,,
Dewas BO,I2954,Bawania SO,,,3.0,2.0,,5.0,,11.0,,,,
Dhabdhani BO,J3500,Jui Khurd SO,,,,2.0,,2.0,,2.0,,,,
Dhadhi Adampur BO,H3222,Jhojhu SO,,,1.0,,,,,,,,,
Dhadhi Mandola BO,A4270,Charkhi  Dadri Hsgii SO,,,1.0,,,1.0,,1.0,,,,
Dhadhot BO,J2219,Mohindergarh SO,,,,,,,,1.0,,,,
Dhana BO,I2955,Bawania SO,,,2.0,1.0,,1.0,,4.0,,,,
Dhana Ladan Pur BO,E1757,Neemariwali PO,,,3.0,,,2.0,,5.0,,,,
Dhanaunda BO,D3243,Kanina SO,,,6.0,1.0,,,,2.0,,,,
Dhani Mahu BO,B5738,Tosham SO,,,5.0,,,1.0,,,,,,
Dhani Miran BO,J2202,Siwani SO,,,,,,2.0,,,,,,
Dhani Phogat BO,C1168,Charkhi  Dadri Hsgii SO,,,,,,,,1.0,,,,
Dhanota BO,A4231,Narnaul HO,,,2.0,,,,,,,,,
Dhareru BO,J3463,Manheru SO,,,,,,1.0,,,,,,
Dharson BO,F4597,Narnaul HO,,,2.0,21.0,,1.0,,,,,,
Dhirana BO,G7111,Neemariwali PO,,,,,,1.0,,,,,,
Dholera BO,J7245,Nangal Chaudhry SO,,,,,,3.0,,2.0,,,,
Dhor Kalan BO,E6243,Narnaul HO,,,1.0,,,3.0,,2.0,,,,
Digrota BO,H0362,Satnali SO,,,1.0,,,1.0,,,,,,
Dinod BO,E1758,Bapora SO,,,2.0,,,3.0,,3.0,,,,
Dochana BO,G3094,Narnaul HO,,,2.0,2.0,,1.0,,,,,,
Dohka Harya BO,H9251,Birhi Kalan SO,,,3.0,,,2.0,,,,,,
Dongra Ahir BO,L9942,Mandi Ateli SO,,,3.0,,,4.0,,10.0,,,,
Dublana BO,G3095,Narnaul HO,,,1.0,7.0,,1.0,,1.0,,,,
Dudhwa BO,B5570,Chiriya SO,,,2.0,,,8.0,,8.0,,,,
Dulana BO,J2220,Mohindergarh SO,,,,3.0,,,,1.0,,,,
Dulat Jat BO,L9943,Mandi Ateli SO,,,,16.0,,2.0,,,,,,
Dulheri BO,B5739,Tosham SO,,,2.0,2.0,,1.0,,8.0,,,,
Durjanpur BO,L4328,Bawani Khera SO,,,1.0,9.0,,,,,,,,
Fatehgarh Haryana BO,J3464,Manheru SO,,,4.0,,,1.0,,2.0,,,,
Gainadawas BO,J2203,Siwani SO,,,1.0,,,2.0,,,,,,
Ganiar BO,L9944,Mandi Ateli SO,,,,4.0,,2.0,,1.0,,,,
Garanpura Kalan BO,G6216,Tosham SO,,,7.0,1.0,,2.0,,,,,,
Garhi BO,L9945,Mandi Ateli SO,,,,,,,,1.0,,,,
Ghanghala BO,J2204,Siwani SO,,,3.0,,,,,,,,,
Ghasola BO,G3118,Charkhi  Dadri Hsgii SO,,,3.0,7.0,,,,,,,,
Gignow BO,L4384,Loharu SO,,,1.0,6.0,,,,,,,,
Gokalpur BO,L9946,Mandi Ateli SO,,,1.0,2.0,,1.0,,3.0,,,,
Golagarh BO,J3501,Jui Khurd SO,,,2.0,,,1.0,,,,,,
Golwa BO,J7246,Nangal Chaudhry SO,,,1.0,10.0,,1.0,,40.0,,,,
Gopi BO,A7954,Badhara SO,,,,,,,,1.0,,,,
Gudana Kalan BO,H3223,Jhojhu SO,,,,,,1.0,,1.0,,,,
Gujarwas BO,L9947,Mandi Ateli SO,,,,1.0,,1.0,,,,,,
Gujrani BO,A3298,Tigrana SO,,,4.0,,,,,,,,,
Gurera BO,J2205,Siwani SO,,,2.0,1.0,,,,,,,,
Gurha BO,E9938,Kanina SO,,,,,,6.0,,5.0,,,,
Halu Bajar Bhiwani SO,12702104,,8.0,2.0,10.0,95.0,,27.0,8.0,193.0,,6.0,10.0,
Haluwas BO,G7112,Neemariwali PO,,,3.0,7.0,,2.0,,6.0,,,,
Hamidpur BO,C9448,Narnaul HO,,,,,,1.0,,1.0,,,,
Harodi BO,A7955,Nihalgard PO,,,2.0,,,2.0,,1.0,,,,
Hetampura BO,D6983,Kairu SO,,,,1.0,,1.0,,1.0,,,,
Hudina BO,F4598,Narnaul HO,,,2.0,5.0,,5.0,,13.0,,,,
Imlota BO,C9481,Charkhi  Dadri Hsgii SO,,,2.0,3.0,,1.0,,1.0,,,,
Isharwal BO,N9288,Rodhan SO,,,2.0,,,,,,,,,
Jalan Hospital Bhiwani SO,12702105,,4.0,,8.0,24.0,,11.0,2.0,52.0,,,2.0,
Jamalpur SO Bhiwani,12703501,Jamalpur SO Bhiwani,,1.0,6.0,7.0,,14.0,,3.0,,1.0,5.0,
Janta College Charkhi Dadri SO,12730603,,14.0,6.0,,94.0,,30.0,6.0,71.0,,2.0,7.0,
Jarwa BO,H0363,Satnali SO,,,2.0,,,1.0,,,,,,
Jatai BO,J7454,Mundhal Khurd SO,,,2.0,,,,,,,,,
Jawa BO,H3224,Jhojhu SO,,,2.0,7.0,,4.0,,3.0,,,,
Jewali BO,F8281,Nihalgard PO,,,1.0,1.0,,,,,,,,
Jhagroli BO,I2956,Bawania SO,,,,2.0,,2.0,,3.0,,,,
Jhanjra Sheoran BO,L4385,Loharu SO,,,1.0,2.0,,,,,,,,
Jhijhar BO,F7828,Achina SO,,,1.0,,,1.0,,,,,,
Jhojhu SO,12731001,,11.0,,2.0,28.0,,11.0,1.0,53.0,,1.0,10.0,
Jhook BO,J2222,Mohindergarh SO,,,1.0,,,,,,,,,
Jhully BO,N9289,Rodhan SO,,,1.0,,,,,,,,,
Jui Khurd SO,12703001,,,2.0,5.0,24.0,,10.0,,28.0,,,1.0,
Kadma BO,D3181,Nihalgard PO,,,1.0,2.0,,,,,,,,
Kaila BO,J3465,Manheru SO,,,2.0,5.0,,1.0,,,,,,
Kairu SO,12702901,,1.0,,9.0,4.0,,8.0,,4.0,,,1.0,
Kakrola BO,C4905,Kanina SO,,,1.0,,,1.0,,1.0,,,,
Kakroli Sardara BO,G6833,Badhara SO,,,1.0,2.0,,,,1.0,,,,
Kalinga BO,J7390,Kharak Kalan SO,,,11.0,1.0,,1.0,,,,,,
Kalod BO,J2207,Siwani SO,,,1.0,1.0,,1.0,,1.0,,,,
Kalyana BO,B2733,Charkhi  Dadri Hsgii SO,,,6.0,1.0,,3.0,,,,,,
Kamania BO,E6244,Narnaul HO,,,,7.0,,,,,,,,
Kanina Mandi BO,A8023,Kanina SO,,,,,,,,3.0,,,,
Kanina SO,12302701,,9.0,1.0,9.0,183.0,,71.0,10.0,148.0,,12.0,19.0,
Kanti BO,L9948,Mandi Ateli SO,,,1.0,,,2.0,,,,,,
Kanti Kheri BO,L9949,Mandi Ateli SO,,,,1.0,,,,1.0,,,,
Kanwi BO,F4599,Narnaul HO,,,,10.0,,,,1.0,,,,
Kari Dharani BO,F8282,Badhara SO,,,,3.0,,,,1.0,,,,
Kario Baniawalij BO,G6834,Badhara SO,,,1.0,,,,,1.0,,,,
Karota BO,B2700,Narnaul HO,,,2.0,4.0,,1.0,,,,,,
Kaunt BO,J3466,Manheru SO,,,3.0,,,,,,,,,
Khanak BO,A7314,Tosham SO,,,5.0,1.0,,,,,,,,
Kharak Kalan SO,12711401,,3.0,3.0,8.0,8.0,,12.0,1.0,29.0,,,3.0,
Kharkari BO,L4386,Loharu SO,,,,,,2.0,,1.0,,,,
Kharkhari Sohan BO,C4193,Tosham SO,,,1.0,,,2.0,,1.0,,,,
Khera BO,J2208,Siwani SO,,,2.0,2.0,,3.0,,,,,,
Kheri BO,E1552,Kanina SO,,,3.0,,,3.0,,2.0,,,,
Kheri Bura BO,D7910,Charkhi  Dadri Hsgii SO,,,1.0,,,,,,,,,
Khudana BO,J2224,Mohindergarh SO,,,1.0,,,,,,,,,
Kirawar BO,E7195,Jamalpur SO Bhiwani,,,1.0,,,,,,,,,
Kitlana BO,J3467,Neemariwali PO,,,,,,,,1.0,,,,
Kohar BO,G7113,Bapora SO,,,1.0,,,2.0,,,,,,
Koriawas BO,D7884,Narnaul HO,,,9.0,,,2.0,,2.0,,,,
Kotia BO,F8349,Kanina SO,,,1.0,,,2.0,,1.0,,,,
Krishan Nagar BO,C9449,Narnaul HO,,,2.0,,,1.0,,11.0,,,,
Kultazpur BO,F4600,Narnaul HO,,,1.0,2.0,,4.0,,9.0,,,,
Kungar BO,J7455,Mundhal Khurd SO,,,3.0,,,1.0,,1.0,,,,
Kural BO,L4387,Loharu SO,,,,,,1.0,,1.0,,,,
Kurawata BO,J2225,Mohindergarh SO,,,,,,1.0,,,,,,
Kusumbhi BO,C8494,Kairu SO,,,,,,3.0,,1.0,,,,
Lad BO,G6835,Badhara SO,,,,,,1.0,,,,,,
Lawan BO,J2226,Mohindergarh SO,,,4.0,,,2.0,,8.0,,,,
Leghan BO,C8495,Kairu SO,,,6.0,,,,,1.0,,,,
Lilas BO,J2209,Siwani SO,,,1.0,,,,,,,,,
Lohani BO,E5319,Kairu SO,,,4.0,4.0,,2.0,,,,,,
Lohar Bazar SO,12702106,,1.0,,2.0,35.0,,10.0,2.0,52.0,,1.0,4.0,
Lohari Jatu BO,L4329,Bawani Khera SO,,,2.0,3.0,,2.0,,,,,,
Loharu SO,12720101,,7.0,1.0,12.0,45.0,,17.0,2.0,17.0,,3.0,2.0,
Loharwara BO,B5940,Achina SO,,,1.0,,,,,,,,,
Madhana Kalan BO,B2701,Narnaul HO,,,,5.0,,2.0,,,,,,
Madhogarh BO,H0364,Satnali SO,,,2.0,1.0,,3.0,,,,,,
Makrana BO,B5571,Chiriya SO,,,,,,,,1.0,,,,
Mandhana BO,L4330,Bawani Khera SO,,,1.0,1.0,,,,,,,,
Mandhi Harya BO,G6836,Nihalgard PO,,,2.0,1.0,,,,1.0,,,,
Mandholi Kalan BO,N9291,Rodhan SO,,,,,,2.0,,,,,,
Mandholi Khurd BO,J2210,Siwani SO,,,,1.0,,4.0,,,,,,
Mandi Ateli SO,12302101,,10.0,1.0,15.0,106.0,,40.0,6.0,172.0,,7.0,20.0,
Mandi BO,D7885,Narnaul HO,,,1.0,25.0,,2.0,,,,,,
Mandola BO,J2227,Mohindergarh SO,,,2.0,,,13.0,,4.0,,,,
Manheru SO,12730901,Manheru SO,4.0,2.0,2.0,8.0,,9.0,,4.0,,,1.0,
Mankawas BO,E6273,Charkhi  Dadri Hsgii SO,,,,1.0,,1.0,,,,,,
Mansarbass BO,F3605,Kairu SO,,,,1.0,,4.0,,4.0,,,,
Matani BO,G8996,Behl SO,,,,,,1.0,,,,,,
Mauri BO,E0620,Chiriya SO,,,2.0,,,,,3.0,,,,
Mehera BO,H9252,Birhi Kalan SO,,,,2.0,,2.0,,5.0,,,,
Milkpur BO,L4331,Bawani Khera SO,,,2.0,,,3.0,,13.0,,,,
Mini Sect Bhiwani SO,12702107,,2.0,,3.0,16.0,,7.0,2.0,30.0,,,5.0,
Mini SecttNarnaul SO,12300101,,2.0,,,17.0,,3.0,,14.0,,,2.0,
Miran BO,J2211,Siwani SO,,,1.0,2.0,,1.0,,1.0,,,,
Misri BO,G1000,Sanwar SO Bhiwani,,,,,,1.0,,,,,,
Mitathal BO,E5320,Tigrana SO,,,2.0,2.0,,7.0,,2.0,,,,
Mithi BO,G8997,Behl SO,,,1.0,,,,,,,,,
Mohindergarh SO,12302901,,16.0,5.0,15.0,182.0,,62.0,7.0,77.0,,8.0,23.0,
Morka BO,G8998,Behl SO,,,,,,2.0,,1.0,,,,
Morwala BO,B5941,Achina SO,,,2.0,,,1.0,,,,,,
Mundhal Khurd SO,12704101,,1.0,,2.0,13.0,,12.0,,21.0,,,,
Nagal Nunia BO,J7247,Nangal Chaudhry SO,,,1.0,6.0,,1.0,,,,,,
Nakipur BO,L4388,Loharu SO,,,1.0,,,,,,,,,
Naloi BO,J2212,Siwani SO,,,,1.0,,,,,,,,
Nandgaon BO,F0144,Neemariwali PO,,,,,,,,3.0,,,,
Nangal Chaudhry SO,12302301,,3.0,4.0,7.0,62.0,,41.0,4.0,47.0,,2.0,23.0,
Nangal Dargu BO,J7248,Nangal Chaudhry SO,,,1.0,1.0,,1.0,,,,,,
Nangal Katha BO,B2702,Narnaul HO,,,1.0,2.0,,1.0,,4.0,,,,
Nangal Sirohi SO,12302801,,,,5.0,38.0,,12.0,,38.0,,1.0,6.0,
Nangalmala BO,H0365,Satnali SO,,,,1.0,,,,,,,,
Narnaul City SO,12300102,,8.0,,4.0,98.0,,28.0,11.0,148.0,,3.0,23.0,
Narnaul HO,12300100,,25.0,3.0,25.0,299.0,,82.0,17.0,348.0,,16.0,53.0,
Narnaul Kty SO,12300103,,,4.0,,39.0,,9.0,2.0,16.0,,1.0,6.0,
Naurangabass Jattan BO,H3225,Jhojhu SO,,,,1.0,,,,,,,,
Nautana BO,E9939,Kanina SO,,,,,,2.0,,,,,,
Nawan BO,H0366,Satnali SO,,,,,,1.0,,2.0,,,,
Neemariwali PO,12731101,Neemariwali PO,,,4.0,0.0,,1.0,,1.0,,,,
Neemli BO,G3119,Charkhi  Dadri Hsgii SO,,,4.0,4.0,,1.0,,,,,,
Neerpur BO,G3096,Narnaul HO,,,1.0,10.0,,1.0,,,,,,
Niamatpur BO,J7249,Nangal Chaudhry SO,,,,10.0,,,,,,,,
Nihalawas BO,F6456,Nangal Sirohi SO,,,4.0,1.0,,2.0,,,,,,
Nihalgard PO,12731201,,3.0,1.0,0.0,2.0,,3.0,,4.0,,,1.0,
Nizampur RS BO,F4601,Narnaul HO,,,1.0,6.0,,1.0,,,,,,
Obra BO,G9000,Behl SO,,,5.0,1.0,,1.0,,,,,,
Paitawas Kalan BO,D7911,Charkhi  Dadri Hsgii SO,,,1.0,,,,,,,,,
Paju BO,AK111,Loharu SO,,,,10.0,,,,1.0,,,,
Palari BO,H3226,Jhojhu SO,,,,2.0,,2.0,,8.0,,,,
Pali BO,J2229,Mohindergarh SO,,,,,,1.0,,,,,,
Palri Panihara BO,J2230,Mohindergarh SO,,,1.0,,,2.0,,,,,,
Paluwas BO,B1793,Tigrana SO,,,2.0,5.0,,,,,,,,
Paposa BO,E7196,Jamalpur SO Bhiwani,,,1.0,1.0,,,,,,,,
Parvezpur BO,L4389,Loharu SO,,,3.0,,,3.0,,,,,,
Pathera BO,I2957,Bawania SO,,,1.0,1.0,,4.0,,4.0,,,,
Patwan BO,G9001,Behl SO,,,1.0,,,2.0,,3.0,,,,
Pichopa Kalan BO,H3227,Jhojhu SO,,,4.0,1.0,,1.0,,1.0,,,,
Pohkarwas BO,J3503,Jui Khurd SO,,,,2.0,,2.0,,1.0,,,,
Pota BO,F8350,Kanina SO,,,,,,2.0,,,,,,
Premnagar BO,C0231,Tigrana SO,,,1.0,,,,,1.0,,,,
Pur BO,L4332,Bawani Khera SO,,,2.0,1.0,,2.0,,2.0,,,,
Raghunathpura BO,F4602,Narnaul HO,,,1.0,1.0,,3.0,,13.0,,,,
Rajgarh BO,B6664,Neemariwali PO,,,,1.0,,,,2.0,,,,
Rambas BO,B6462,Kanina SO,,,,1.0,,1.0,,,,,,
Rambass BO,H3228,Nihalgard PO,,,1.0,1.0,,1.0,,5.0,,,,
Ranila BO,E4234,Sanwar SO Bhiwani,,,4.0,2.0,,5.0,,1.0,,,,
Rasiwas BO,H9253,Birhi Kalan SO,,,,,,2.0,,1.0,,,,
Rasoolpur BO,A8024,Kanina SO,,,2.0,,,2.0,,,,,,
Ratera BO,G4112,Jamalpur SO Bhiwani,,,,,,1.0,,,,,,
Rattan Kalan BO,L9950,Mandi Ateli SO,,,1.0,3.0,,1.0,,1.0,,,,
Rawaldhi BO,F4633,Charkhi  Dadri Hsgii SO,,,1.0,2.0,,4.0,,6.0,,,,
Rewari Khera BO,J9572,Chang SO,,,1.0,26.0,,2.0,,1.0,,,,
Riwasa BO,C4194,Tosham SO,,,,,,1.0,,,,,,
Rodhan SO,12704301,,,,3.0,0.0,,5.0,,22.0,,1.0,1.0,
Roopgarh BO,B6665,Neemariwali PO,,,,,,1.0,,,,,,
Sagban BO,C4195,Tosham SO,,,2.0,,,,,,,,,
Sai BO,J9573,Chang SO,,,7.0,21.0,,1.0,,1.0,,,,
Samaspur BO,B2734,Charkhi  Dadri Hsgii SO,,,1.0,4.0,,,,,,,,
Sandawa BO,N9292,Rodhan SO,,,2.0,,,2.0,,,,,,
Sanjarwas BO,B9153,Sanwar SO Bhiwani,,,,,,2.0,,,,,,
Sankror BO,F2537,Sanwar SO Bhiwani,,,,,,4.0,,1.0,,,,
Sanwar SO Bhiwani,12704201,,1.0,2.0,7.0,4.0,,9.0,,9.0,,,,
Sarai Bahadur BO,L9951,Mandi Ateli SO,,,,10.0,,,,,,,,
Sarangpur B.O,AK762,Birhi Kalan SO,,,2.0,1.0,,2.0,,1.0,,,,
Sareli BO,J7250,Nangal Chaudhry SO,,,,4.0,,2.0,,6.0,,,,
Sarupgarh BO,F4634,Charkhi  Dadri Hsgii SO,,,1.0,2.0,,1.0,,1.0,,,,
Satnali SO,12302401,,6.0,1.0,4.0,41.0,,17.0,3.0,19.0,,1.0,9.0,
Sehar BO,L4390,Loharu SO,,,2.0,,,3.0,,,,,,
Sehlang BO,E9940,Kanina SO,,,,,,2.0,,,,,,
Sehma BO,G5053,Nangal Sirohi SO,,,1.0,,,3.0,,7.0,,,,
Serla BO,G9002,Behl SO,,,1.0,,,2.0,,3.0,,,,
Shyampura BO,H0368,Satnali SO,,,1.0,1.0,,,,,,,,
Siana BO,F8351,Kanina SO,,,3.0,,,2.0,,,,,,
Sidhanwa BO,G9003,Behl SO,,,,1.0,,,,,,,,
Sihore BO,G6903,Kanina SO,,,1.0,,,,,,,,,
Singhani BO,L4391,Loharu SO,,,2.0,,,1.0,,,,,,
Sirohi Behali BO,J7251,Nangal Chaudhry SO,,,1.0,,,1.0,,4.0,,,,
Siswala BO,H9254,Birhi Kalan SO,,,1.0,,,1.0,,2.0,,,,
Siwana BO,J7456,Mundhal Khurd SO,,,1.0,,,,,,,,,
Siwani SO,12704601,,,1.0,13.0,28.0,,26.0,,59.0,,2.0,14.0,
Siwara BO,L4333,Bawani Khera SO,,,2.0,1.0,,,,,,,,
Sohansara BO,L4392,Loharu SO,,,2.0,,,1.0,,2.0,,,,
Sui BO,B1794,Tigrana SO,,,,,,1.0,,1.0,,,,
Sundrah BO,I2958,Bawania SO,,,,2.0,,1.0,,5.0,,,,
Sungarpur BO,F3606,Kairu SO,,,1.0,,,1.0,,,,,,
Sureti Kalan BO,H0369,Satnali SO,,,1.0,,,,,1.0,,,,
SURJANWAS,AU194,Bawania SO,,,,1.0,,,,,,,,
Talu BO,J7457,Mundhal Khurd SO,,,1.0,,,,,,,,,
Thanwas BO,J7252,Nangal Chaudhry SO,,,3.0,,,,,,,,,
Tigrana SO,12703101,,2.0,,6.0,15.0,,13.0,,7.0,,3.0,1.0,
Tiwala BO,H9255,Birhi Kalan SO,,,,5.0,,,,1.0,,,,
Tosham SO,12704001,,1.0,2.0,10.0,19.0,,38.0,3.0,33.0,,1.0,5.0,
Umarwas BO,J3504,Jui Khurd SO,,,1.0,1.0,,1.0,,,,,,
Agon BO,L6408,Ferozepur Jhirka SO,,,3.0,2.0,,,,,,,,
