Name,SOL_ID_BO_ID,SO Name,MIS,PPFGP,SSA,RD,SBBAS,SBSGP,SCSS,TD,PRFTS,KVN,NSC8,MSSC
Chudiala B.O,J7217,Kesri S.O,,,2.0,3.0,,2.0,,3.0,,,,
Commissioner Court S.O,13300102,,4.0,,2.0,12.0,,4.0,7.0,18.0,,,1.0,
D.A.V.College S.O,13400305,,11.0,4.0,2.0,7.0,,9.0,5.0,49.0,,2.0,33.0,
Dadupur B.O,G5048,Jagadhri S.O,,,2.0,6.0,,,,,,,,
Damaloan B.O,I3640,Pinjore S.O,,,1.0,2.0,,2.0,,,,,,
Damla B.O,D2044,Jagdhari Work Shop S.O,,,4.0,1.0,,3.0,,3.0,,,,
Danipur B.O,M6332,Durga Nagar S.O,,,1.0,,,,,,,,,
Darpur B.O,J7328,Chhachrauli S.O,,,,3.0,,7.0,,,,,,
Dayalgarh B.O,G9895,Bilaspur (Yamunanagar) S.O,,,2.0,2.0,,1.0,,1.0,,,,
Defence Colony S.O,13301001,,8.0,3.0,2.0,9.0,,13.0,2.0,19.0,,2.0,1.0,
Deodhar B.O,L7176,Partap Nagar S.O,,,,2.0,,3.0,,15.0,,,,
Derasalimpur B.O,I1907,Barara S.O,,,2.0,3.0,,1.0,,5.0,,,,
Devi Nagar B.O,A6320,Panchkula Sector 8 S.O,,,,2.0,,,,,,,,
Dhanana B.O,M0018,Jatwar S.O,,,1.0,,,1.0,,,,,,
Dhanaura B.O,G7187,Mullana S.O,,,2.0,10.0,,8.0,,3.0,,,,
Dhankaur B.O,F8558,Baldev Nagar S.O,,,,1.0,,1.0,,,,,,
Dhin S.O,13320201,,,1.0,1.0,22.0,,13.0,1.0,23.0,,0.0,3.0,
Dhulkot B.O,E1759,Baldev Nagar S.O,,,,,,1.0,,,,,,
Dhurkara B.O,M6333,Durga Nagar S.O,,,,1.0,,,,,,,,
Dinarpur B.O,J7218,Kesri S.O,,,1.0,2.0,,4.0,,1.0,,,,
Dukheri B.O,G7014,Kuldeep Nagar S.O,,,1.0,2.0,,7.0,,2.0,,,,
Duliani B.O,L4929,Dhin S.O,,,4.0,,,5.0,,10.0,,1.0,,
Durana B.O,E1639,Majri S.O,,,1.0,,,,,8.0,,,,
Durga Nagar S.O,13400801,,6.0,,6.0,2.0,,9.0,3.0,22.0,,,2.0,
Fatehgarh B.O,M0019,Jatwar S.O,,,,2.0,,2.0,,11.0,,,,
Fatehgarh Tumbi B.O,C4196,Sarawan S.O,,,1.0,2.0,,5.0,,2.0,,,,
Fatehpur B.O,I3761,Buriya S.O,,,3.0,4.0,,4.0,,2.0,,,,
Gadhaula B.O,L4395,Saraswati Nagar S.O,,,1.0,2.0,,2.0,,,,,,
Gadhauli B.O,A4739,Naraingarh S.O,,,4.0,1.0,,16.0,,4.0,,,,
Ganeshpur B.O,J9667,Shahzadpur S.O.,,,,,,6.0,,3.0,,,,
Garhi Kotaha B.O,L3938,Raipur Rani S.O,,,4.0,2.0,,4.0,,6.0,,,,
Geeta Nagri S.O,13400702,,5.0,,6.0,26.0,,14.0,1.0,40.0,,6.0,4.0,
Ghail B.O,D3475,Baldev Nagar S.O,,,1.0,,,,,4.0,,,,
Ghillaur B.O,I4682,Radaur S.O,,,2.0,20.0,,,,,,,,
Gobind Nagar S.O,13300103,,16.0,,,42.0,,17.0,15.0,73.0,,6.0,19.0,
Gokal Garh B.O,A8327,Mullana S.O,,,,,,1.0,,,,,,
Gudhiana B.O,L4396,Saraswati Nagar S.O,,,,,,6.0,,2.0,,,,
Gumthala Rao B.O,I4683,Radaur S.O,,,2.0,,,1.0,,,,,,
H.M.T.Pinjore S.O,13410101,,26.0,,,10.0,,10.0,7.0,2.0,,,7.0,
Hafizpur B.O,E8776,Jagdhari Work Shop S.O,,,2.0,4.0,,4.0,,4.0,,,,
Haibatpur B.O,E9253,Sarawan S.O,,,2.0,2.0,,3.0,,5.0,,,,
Hamida S.O,13500106,,,,3.0,34.0,,8.0,1.0,66.0,,10.0,20.0,
Hamidpur B.O,D0005,Naraingarh S.O,,,2.0,5.0,,10.0,,2.0,,,,
Hangola B.O,L3939,Raipur Rani S.O,,,3.0,1.0,,7.0,,1.0,,,,
