Office_ID,SOL_ID_BO_ID,PLI_ID,Office_Name,AO_office_ID,AO_Name,Sub_Division_ID,Sub_Division,Division id,Division,Circle_ID,Circle_Name,office_type_code,net target,Accounts_opened
17100004,L4928,HR010109005,Alipur Jahangir B.O,17660023,Dhin S.O,17640002,Ambala Sub-Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100226,L4402,HR010310011,Uncha Chandna B.O,17660072,Saraswati Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100213,L4401,HR010310010,Talakaur B.O,17660072,Saraswati Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100105,L4400,HR010310009,Kanhari Kalan B.O,17660072,Saraswati Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100101,L4399,HR010310014,Kalawar B.O,17660072,Saraswati Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100088,L4398,HR010310008,Jagdholi B.O,17660072,Saraswati Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100082,L4397,HR010310007,Hangoli B.O,17660072,Saraswati Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100076,L4396,HR010310006,Gundiana B.O,17660072,Saraswati Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100069,L4395,HR010310004,Gadhaula B.O,17660072,Saraswati Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100045,L4394,HR010310002,Chhappar B.O,17660072,Saraswati Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100027,L4393,HR010310012,Bhambol B.O,17660072,Saraswati Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100215,L4370,HR010117007,Tepla B.O,17660071,Saha S.O,17640002,Ambala Sub-Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100196,L4369,HR010117006,Samlerhi B.O,17660071,Saha S.O,17640002,Ambala Sub-Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100179,L4368,HR010117005,Pilkhani B.O,17660071,Saha S.O,17640002,Ambala Sub-Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
